"Customer ID",Age,Gender,"Item Purchased",Category,"Purchase Amount (USD)",Location,Size,Color,Season,"Review Rating","Subscription Status","Payment Method","Shipping Type","Discount Applied","Promo Code Used","Previous Purchases","Preferred Payment Method","Frequency of Purchases"
36,54,0,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4,1,"Bank Transfer","2-Day Shipping",1,1,48,"Credit Card",4
37,35,0,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,1,Cash,"Free Shipping",1,1,44,PayPal,4
38,35,0,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,1,"Debit Card","Store Pickup",1,1,10,PayPal,5
39,29,0,Dress,Clothing,37,Florida,M,Red,Winter,3.7,1,"Debit Card","2-Day Shipping",1,1,44,Venmo,2
40,70,0,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,1,"Bank Transfer",Express,1,1,18,"Credit Card",3
41,69,0,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,1,PayPal,"Next Day Air",1,1,31,"Debit Card",2
42,67,0,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,1,Cash,Standard,1,1,40,Venmo,1
43,20,0,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,1,"Bank Transfer","Free Shipping",1,1,15,PayPal,1
44,25,0,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,1,PayPal,"Store Pickup",1,1,19,PayPal,4
45,39,0,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,1,"Bank Transfer","Free Shipping",1,1,45,PayPal,5
46,50,0,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,1,Venmo,"2-Day Shipping",1,1,25,PayPal,1
47,57,0,Shirt,Clothing,43,California,L,White,Summer,2.9,1,Venmo,"Store Pickup",1,1,45,Cash,2
48,55,0,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,1,"Debit Card","Free Shipping",1,1,36,Cash,5
49,42,0,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,1,"Debit Card","Store Pickup",1,1,38,Cash,3
50,68,0,Hoodie,Clothing,30,"New Jersey",S,Indigo,Spring,4.6,1,"Bank Transfer","Next Day Air",1,1,34,"Debit Card",4
51,49,0,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,1,Cash,"Store Pickup",1,1,39,"Debit Card",4
52,59,0,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,1,PayPal,"2-Day Shipping",1,1,7,"Credit Card",2
53,42,0,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,1,"Credit Card","Free Shipping",1,1,26,"Credit Card",5
54,29,0,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,1,"Debit Card","Next Day Air",1,1,35,"Credit Card",5
55,47,0,Coat,Outerwear,94,"New Mexico",M,Brown,Summer,4.2,1,"Bank Transfer","Next Day Air",1,1,35,"Debit Card",4
56,40,0,Jacket,Outerwear,28,"South Carolina",M,Lavender,Winter,3,1,Venmo,"2-Day Shipping",1,1,49,"Credit Card",1
57,41,0,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,1,PayPal,"Store Pickup",1,1,46,"Credit Card",5
58,21,0,Coat,Outerwear,64,"West Virginia",M,White,Summer,4.4,1,PayPal,"Store Pickup",1,1,17,"Debit Card",4
59,69,0,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,1,"Credit Card","Free Shipping",1,1,29,Venmo,3
60,63,0,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,1,"Debit Card",Standard,1,1,4,"Debit Card",5
61,50,0,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,1,"Credit Card",Express,1,1,17,Cash,5
62,55,0,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,1,"Bank Transfer","Store Pickup",1,1,21,"Credit Card",2
63,30,0,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,1,"Credit Card","Free Shipping",1,1,31,"Credit Card",4
64,33,0,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,1,"Credit Card","2-Day Shipping",1,1,43,"Credit Card",5
65,65,0,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,1,PayPal,Standard,1,1,18,"Debit Card",4
66,65,0,Backpack,Accessories,36,"New Jersey",M,Purple,Spring,4.8,1,"Credit Card","2-Day Shipping",1,1,44,Venmo,2
67,31,0,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,1,"Bank Transfer","2-Day Shipping",1,1,3,Venmo,2
68,45,0,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,1,PayPal,"Store Pickup",1,1,49,"Debit Card",3
69,57,0,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,1,"Credit Card","Next Day Air",1,1,21,Cash,2
70,48,0,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,1,"Credit Card",Express,1,1,5,Cash,5
71,22,0,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,1,"Credit Card",Express,1,1,32,"Debit Card",2
72,36,0,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,1,"Debit Card",Express,1,1,34,"Bank Transfer",1
73,18,0,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,1,"Debit Card","Store Pickup",1,1,21,"Bank Transfer",2
74,48,0,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,1,"Debit Card","Free Shipping",1,1,43,"Bank Transfer",4
75,49,0,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,1,PayPal,Express,1,1,3,Cash,3
76,64,0,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,1,"Debit Card","Free Shipping",1,1,21,"Credit Card",1
77,50,0,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,1,"Bank Transfer","Free Shipping",1,1,32,Venmo,3
78,22,0,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,1,"Debit Card","Next Day Air",1,1,36,"Debit Card",4
79,50,0,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,1,Venmo,"Free Shipping",1,1,50,Venmo,4
80,38,0,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,1,"Bank Transfer","2-Day Shipping",1,1,43,"Bank Transfer",2
81,19,0,Sandals,Footwear,72,"New York",XL,Blue,Summer,3.3,1,"Credit Card","Store Pickup",1,1,24,"Credit Card",2
82,67,0,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,1,PayPal,Express,1,1,36,"Credit Card",2
83,19,0,Pants,Clothing,28,Georgia,S,Olive,Spring,4,1,"Bank Transfer","2-Day Shipping",1,1,21,"Credit Card",2
84,36,0,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,1,"Debit Card",Standard,1,1,34,"Bank Transfer",5
85,52,0,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,1,Cash,Standard,1,1,42,"Bank Transfer",2
86,53,0,Sunglasses,Accessories,95,"New Mexico",M,Charcoal,Winter,4.5,1,"Credit Card","Next Day Air",1,1,2,"Debit Card",4
87,24,0,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,1,Venmo,"2-Day Shipping",1,1,47,Cash,4
88,52,0,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,1,"Debit Card","2-Day Shipping",1,1,44,"Debit Card",4
89,33,0,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,1,"Credit Card","Free Shipping",1,1,35,"Credit Card",3
90,47,0,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,1,"Bank Transfer","Next Day Air",1,1,15,Cash,2
91,25,0,Hat,Accessories,48,"South Carolina",L,Violet,Summer,2.9,1,Venmo,Express,1,1,29,"Credit Card",3
92,44,0,Scarf,Accessories,99,"South Carolina",S,Green,Winter,4.6,1,PayPal,Standard,1,1,18,"Credit Card",2
93,61,0,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,1,Cash,"2-Day Shipping",1,1,13,Venmo,2
94,37,0,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,1,PayPal,Standard,1,1,46,"Credit Card",5
95,58,0,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,1,"Bank Transfer","Free Shipping",1,1,28,"Credit Card",5
96,37,0,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,1,PayPal,"Free Shipping",1,1,48,PayPal,3
97,32,0,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,1,Venmo,Express,1,1,43,Venmo,2
98,21,0,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,1,PayPal,"Store Pickup",1,1,37,Cash,1
99,20,0,Jeans,Clothing,67,"New York",XL,Teal,Spring,2.6,1,Cash,"Next Day Air",1,1,20,"Bank Transfer",1
100,26,0,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,1,Cash,Express,1,1,33,"Debit Card",2
101,62,0,Sunglasses,Accessories,98,"South Dakota",M,Maroon,Fall,2.7,1,PayPal,Express,1,1,31,Cash,4
102,27,0,Coat,Outerwear,85,"North Dakota",XL,White,Spring,4.6,1,Venmo,Express,1,1,50,"Credit Card",4
103,51,0,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,1,"Credit Card","Next Day Air",1,1,35,"Credit Card",2
104,54,0,Boots,Footwear,89,"West Virginia",L,Red,Winter,4,1,"Debit Card","Next Day Air",1,1,22,Venmo,4
105,55,0,Sunglasses,Accessories,24,"New Hampshire",L,Pink,Spring,4.4,1,"Bank Transfer","2-Day Shipping",1,1,1,PayPal,3
106,69,0,Backpack,Accessories,96,"New York",M,Charcoal,Fall,3.6,1,"Bank Transfer","Next Day Air",1,1,4,"Bank Transfer",1
107,64,0,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,1,Cash,Standard,1,1,31,"Credit Card",3
108,28,0,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,1,Cash,"Next Day Air",1,1,46,PayPal,4
109,70,0,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,1,"Bank Transfer","Next Day Air",1,1,32,"Bank Transfer",4
110,58,0,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,1,Cash,"Next Day Air",1,1,43,"Bank Transfer",4
111,56,0,Backpack,Accessories,26,"New York",M,Black,Summer,4,1,"Bank Transfer",Standard,1,1,26,Venmo,4
112,26,0,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5,1,PayPal,"Free Shipping",1,1,9,"Credit Card",1
113,37,0,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,1,"Credit Card","Free Shipping",1,1,28,PayPal,4
114,44,0,Hat,Accessories,54,"New Jersey",L,Maroon,Winter,3.1,1,"Debit Card","Next Day Air",1,1,20,PayPal,2
115,70,0,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,1,Venmo,"Store Pickup",1,1,9,Cash,5
116,53,0,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,1,Cash,Standard,1,1,48,"Debit Card",2
117,55,0,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,1,PayPal,"Free Shipping",1,1,12,Venmo,1
118,50,0,Sandals,Footwear,32,"South Dakota",L,Yellow,Summer,4.6,1,"Bank Transfer",Express,1,1,29,Cash,4
119,50,0,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,1,"Bank Transfer","2-Day Shipping",1,1,27,Cash,4
120,38,0,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,1,"Debit Card",Express,1,1,44,Cash,1
121,64,0,Hat,Accessories,84,"West Virginia",L,Red,Summer,4,1,PayPal,Express,1,1,32,"Bank Transfer",1
122,19,0,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,1,Cash,Standard,1,1,11,Cash,4
123,40,0,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,1,"Credit Card","2-Day Shipping",1,1,44,Cash,4
124,57,0,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,1,"Debit Card","Free Shipping",1,1,46,Cash,5
125,44,0,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,1,PayPal,"Next Day Air",1,1,50,PayPal,1
126,49,0,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,1,Cash,"Next Day Air",1,1,45,Venmo,2
127,43,0,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,1,"Bank Transfer","Store Pickup",1,1,48,Cash,2
128,24,0,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,1,Venmo,"Next Day Air",1,1,26,"Credit Card",5
129,20,0,Scarf,Accessories,32,California,M,Gold,Spring,4.7,1,Venmo,Standard,1,1,21,"Credit Card",4
130,24,0,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,1,Cash,"2-Day Shipping",1,1,49,PayPal,4
131,44,0,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,1,"Credit Card","Next Day Air",1,1,13,PayPal,4
132,28,0,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,1,PayPal,Standard,1,1,46,"Credit Card",5
133,30,0,Backpack,Accessories,58,"New Mexico",M,Orange,Fall,4.7,1,"Bank Transfer","2-Day Shipping",1,1,42,PayPal,5
134,52,0,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,1,"Bank Transfer","Next Day Air",1,1,25,Venmo,1
135,43,0,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,1,"Credit Card","Store Pickup",1,1,25,Cash,3
136,43,0,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,1,PayPal,Express,1,1,12,PayPal,2
137,39,0,Blouse,Clothing,86,"South Carolina",M,White,Winter,3.3,1,"Credit Card","Free Shipping",1,1,4,"Debit Card",2
138,68,0,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,1,Cash,"Free Shipping",1,1,38,PayPal,5
139,68,0,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,1,Cash,"Store Pickup",1,1,42,"Bank Transfer",5
140,49,0,Coat,Outerwear,95,Florida,M,White,Fall,3.8,1,"Debit Card","Store Pickup",1,1,30,Venmo,1
141,63,0,Shirt,Clothing,28,"North Carolina",L,Yellow,Fall,3.9,1,"Bank Transfer","2-Day Shipping",1,1,50,"Credit Card",5
142,56,0,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,1,PayPal,"Free Shipping",1,1,45,PayPal,5
143,37,0,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,1,PayPal,"Free Shipping",1,1,33,"Credit Card",4
144,30,0,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,1,"Bank Transfer","Store Pickup",1,1,25,PayPal,2
145,19,0,Shoes,Footwear,43,"New Jersey",M,Silver,Fall,3.2,1,"Credit Card",Express,1,1,25,Cash,3
146,24,0,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,1,Venmo,Standard,1,1,44,"Debit Card",2
147,52,0,Skirt,Clothing,30,Colorado,S,Black,Fall,4,1,"Debit Card",Standard,1,1,21,Venmo,4
148,63,0,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,1,"Bank Transfer","2-Day Shipping",1,1,31,"Bank Transfer",4
149,37,0,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,1,PayPal,"Store Pickup",1,1,47,"Debit Card",1
150,38,0,Pants,Clothing,76,Delaware,M,White,Summer,3.2,1,Venmo,"Free Shipping",1,1,14,PayPal,3
151,35,0,Boots,Footwear,96,California,L,Cyan,Fall,4.9,1,"Bank Transfer",Standard,1,1,17,"Debit Card",2
152,28,0,Sunglasses,Accessories,47,"North Dakota",L,Turquoise,Fall,4.5,1,"Debit Card","Next Day Air",1,1,3,Venmo,1
153,30,0,Shirt,Clothing,85,"South Carolina",S,Brown,Summer,4.3,1,PayPal,Express,1,1,42,Venmo,1
154,69,0,Hoodie,Clothing,55,"North Carolina",M,Maroon,Winter,3.2,1,"Debit Card",Standard,1,1,22,"Debit Card",1
155,41,0,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,1,"Debit Card","Next Day Air",1,1,21,Venmo,2
156,63,0,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,1,Cash,"Free Shipping",1,1,21,"Bank Transfer",2
157,35,0,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4,1,Venmo,Standard,1,1,40,"Debit Card",1
158,36,0,Hat,Accessories,68,Vermont,S,Yellow,Fall,3,1,"Debit Card","Next Day Air",1,1,1,"Bank Transfer",4
159,25,0,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,1,"Bank Transfer",Standard,1,1,50,"Bank Transfer",3
160,58,0,Gloves,Accessories,27,"New Hampshire",M,Charcoal,Fall,3.8,1,"Debit Card","Store Pickup",1,1,39,"Bank Transfer",2
161,27,0,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,1,"Bank Transfer","Free Shipping",1,1,34,Venmo,3
162,65,0,Backpack,Accessories,49,"North Dakota",M,Olive,Fall,3,1,Venmo,Express,1,1,29,Venmo,4
163,54,0,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3,1,"Credit Card","Store Pickup",1,1,31,PayPal,4
164,54,0,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,1,PayPal,Standard,1,1,8,"Debit Card",5
165,59,0,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,1,"Debit Card","Free Shipping",1,1,5,"Credit Card",4
166,42,0,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,1,"Credit Card","Store Pickup",1,1,7,Cash,3
167,46,0,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4,1,Cash,"Store Pickup",1,1,30,Cash,3
168,33,0,Gloves,Accessories,27,Arkansas,M,Green,Fall,4,1,Venmo,Express,1,1,14,"Credit Card",2
169,34,0,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3,1,"Bank Transfer",Express,1,1,5,Cash,4
170,27,0,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,1,"Credit Card",Standard,1,1,3,PayPal,2
171,52,0,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,1,Venmo,"Store Pickup",1,1,46,Venmo,4
172,29,0,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,1,"Debit Card","Store Pickup",1,1,4,"Credit Card",5
173,54,0,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,1,"Bank Transfer","Next Day Air",1,1,42,"Credit Card",4
174,25,0,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,1,PayPal,Standard,1,1,30,Cash,1
175,41,0,Shoes,Footwear,35,Vermont,L,Brown,Winter,3.5,1,Venmo,Express,1,1,37,Venmo,1
176,53,0,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,1,"Debit Card","Next Day Air",1,1,2,"Bank Transfer",1
177,53,0,Backpack,Accessories,81,"New Hampshire",L,Black,Spring,2.7,1,"Bank Transfer","Next Day Air",1,1,30,"Credit Card",2
178,21,0,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,1,"Debit Card","Next Day Air",1,1,47,"Bank Transfer",3
179,61,0,Skirt,Clothing,43,Idaho,L,Lavender,Fall,4.3,1,"Debit Card","2-Day Shipping",1,1,21,PayPal,2
180,64,0,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,1,"Debit Card","Store Pickup",1,1,9,"Bank Transfer",4
181,51,0,Sandals,Footwear,81,"South Dakota",L,Green,Fall,3.3,1,Cash,"Store Pickup",1,1,12,"Debit Card",4
182,32,0,Pants,Clothing,61,Massachusetts,M,Beige,Summer,4.7,1,Venmo,"Next Day Air",1,1,4,"Bank Transfer",5
183,38,0,Gloves,Accessories,96,Alabama,XL,Purple,Summer,2.8,1,Venmo,"Store Pickup",1,1,10,"Debit Card",1
184,58,0,Skirt,Clothing,29,Ohio,XL,Beige,Spring,3.6,1,"Bank Transfer","2-Day Shipping",1,1,26,"Credit Card",5
185,32,0,Sneakers,Footwear,33,Hawaii,L,Cyan,Spring,3,1,Cash,Express,1,1,40,Cash,4
186,46,0,T-shirt,Clothing,32,Wisconsin,XL,Silver,Summer,4.5,1,"Bank Transfer","Store Pickup",1,1,34,"Bank Transfer",4
187,39,0,Backpack,Accessories,56,Minnesota,S,Lavender,Summer,2.9,1,"Debit Card",Standard,1,1,31,"Debit Card",1
188,19,0,Shoes,Footwear,94,Georgia,S,Purple,Spring,3.3,1,"Credit Card","Store Pickup",1,1,1,"Bank Transfer",4
189,50,0,Hoodie,Clothing,53,Arkansas,M,Pink,Spring,3.1,1,"Credit Card",Express,1,1,5,"Bank Transfer",4
190,36,0,Blouse,Clothing,82,"West Virginia",M,Maroon,Fall,4.4,1,Venmo,"Next Day Air",1,1,4,"Credit Card",5
191,65,0,Coat,Outerwear,70,Indiana,XL,Beige,Fall,3,1,Venmo,"Free Shipping",1,1,48,Venmo,2
192,64,0,Hat,Accessories,76,Utah,M,Gray,Fall,3.9,1,"Credit Card","Free Shipping",1,1,29,Cash,2
193,46,0,Shoes,Footwear,29,Nebraska,L,Turquoise,Summer,2.9,1,Venmo,Express,1,1,12,PayPal,4
194,36,0,Belt,Accessories,100,"North Dakota",S,Silver,Fall,3,1,PayPal,Standard,1,1,29,Venmo,1
195,51,0,Backpack,Accessories,94,Missouri,M,Olive,Spring,3.1,1,Venmo,Express,1,1,15,"Debit Card",2
196,51,0,Jacket,Outerwear,25,"New York",M,Magenta,Fall,4.3,1,"Credit Card","Free Shipping",1,1,34,"Credit Card",3
197,38,0,Boots,Footwear,88,Washington,M,Lavender,Summer,3.9,1,Cash,"Next Day Air",1,1,41,"Credit Card",4
198,59,0,Scarf,Accessories,78,"South Carolina",M,Black,Fall,3.2,1,"Debit Card","2-Day Shipping",1,1,41,"Credit Card",3
199,57,0,Jewelry,Accessories,45,Utah,M,Turquoise,Winter,4.8,1,Cash,Standard,1,1,39,"Credit Card",4
200,54,0,Hat,Accessories,73,Idaho,XL,Green,Summer,3.8,1,"Debit Card",Express,1,1,32,Cash,5
201,25,0,Dress,Clothing,61,Pennsylvania,S,Teal,Summer,3.3,1,PayPal,"Next Day Air",1,1,29,Venmo,3
202,69,0,Blouse,Clothing,22,Missouri,S,Beige,Fall,4.3,1,"Bank Transfer","Free Shipping",1,1,15,"Bank Transfer",1
203,57,0,Hat,Accessories,38,Nebraska,L,Magenta,Spring,2.7,1,"Bank Transfer",Express,1,1,33,Venmo,1
204,70,0,Scarf,Accessories,38,Indiana,S,Yellow,Fall,3.2,1,PayPal,"Next Day Air",1,1,18,"Bank Transfer",5
205,24,0,Sneakers,Footwear,100,Arizona,M,Yellow,Fall,4,1,PayPal,"Store Pickup",1,1,35,Cash,4
206,67,0,Shirt,Clothing,64,Hawaii,M,Silver,Winter,3,1,"Bank Transfer",Standard,1,1,25,PayPal,5
